Rank,Name,Nationality,Position,Own Goals,Forced Turnovers,Defensive Pressure Applied,Defensive Pressure Directly Applied
14,Alvaro Fidalgo,MEX,MF,0,6,35,4
14,Enner Valencia,ECU,FW,0,8,91,11
14,Marcos Senesi,ARG,DF,0,0,4,3
14,Facundo Pellistri,URU,FW,0,0,0,0
14,Yaimar Medina,ECU,DF,0,1,10,3
14,Andres Cubas,PAR,MF,0,43,231,57
14,Kevin Rodriguez,ECU,FW,0,2,26,6
14,Agustin Canobbio,URU,MF,0,16,107,16
14,Orbelin Pineda,MEX,MF,0,3,33,1
14,Jose Luis Rodriguez,PAN,MF,0,20,88,12
14,Giovanni Reyna,USA,MF,0,8,46,6
14,Gustavo Puerta,COL,DF,0,22,147,30
14,Julian Quinones,MEX,FW,0,13,162,12
14,Cucho Hernandez,COL,FW,0,0,24,3
14,Gilberto Mora,MEX,MF,0,15,96,9
14,Endrick,BRA,FW,0,3,53,5
14,Alejandro Romero Gamarra,PAR,FW,0,3,13,5
14,Pedro Vite,ECU,MF,0,34,119,29
14,Sebastian Berhalter,USA,MF,0,9,63,17
14,Maxi Araujo,URU,MF,0,10,79,11
14,Jose Cordoba,PAN,DF,0,7,21,12
14,Chris Richards,USA,DF,0,4,22,11
14,Marquinhos,BRA,DF,0,11,45,12
14,Raul Jimenez,MEX,FW,0,27,87,10
14,Isidro Pitta,PAR,FW,0,2,26,3
14,Julian Alvarez,ARG,FW,0,38,285,37
14,Richard Rios,COL,MF,0,4,55,24
14,Brenden Aaronson,USA,FW,0,6,37,9
14,Rodrigo Aguirre,URU,FW,0,0,0,0
14,Pervis Estupinan,ECU,DF,0,2,25,3
14,Roberto Alvarado,MEX,FW,0,6,75,13
14,Facundo Medina,ARG,DF,0,14,63,15
14,Fabian Balbuena,PAR,DF,0,0,0,0
14,Jaminton Campaz,COL,FW,0,5,41,5
14,Rayan,BRA,FW,0,15,112,10
14,Alberto Quintero,PAN,MF,0,0,1,0
14,Federico Valverde,URU,MF,0,19,76,8
14,Piero Hincapie,ECU,DF,0,11,80,29
14,Neymar Jr,BRA,FW,0,0,39,7
14,Carlos Harvey,PAN,DF,0,28,53,19
14,Timothy Weah,USA,FW,0,5,34,4
14,Matt Freese,USA,GK,0,0,0,0
14,Raul Rangel,MEX,GK,0,0,0,0
14,Ederson Silva,BRA,MF,0,1,20,2
14,Santiago Gimenez,MEX,FW,0,3,27,3
14,Braian Ojeda,PAR,MF,0,1,4,1
14,Gustavo Velazquez,PAR,DF,0,3,24,3
14,Danilo Santos,BRA,MF,0,1,22,4
14,Thiago Almada,ARG,FW,0,26,70,11
14,Manuel Ugarte,URU,MF,0,3,40,17
14,Guillermo Ochoa,MEX,GK,0,0,0,0
14,Sergino Dest,USA,DF,0,14,97,9
14,Yerry Mina,COL,DF,0,0,1,1
14,Casemiro,BRA,MF,0,20,103,26
14,Brian Gutierrez,MEX,MF,0,16,69,9
14,Denil Castillo,ECU,MF,0,0,0,0
14,Leandro Paredes,ARG,MF,0,18,63,19
14,Gonzalo Plata,ECU,FW,0,14,135,11
14,Ederson,BRA,GK,0,0,0,0
14,Matias Galarza,PAR,MF,0,42,197,61
14,Tomas Rodriguez,PAN,FW,0,3,26,3
14,Igor Thiago,BRA,FW,0,5,25,5
14,Alex Zendejas,USA,FW,0,1,16,2
14,Brian Rodriguez,URU,FW,0,2,15,1
14,Alan Franco,ECU,MF,0,9,40,14
14,Rodrigo De Paul,ARG,MF,0,11,164,17
14,Gustavo Caballero,PAR,MF,0,2,36,8
14,Haji Wright,USA,FW,0,0,0,0
14,Roderick Miller,PAN,DF,0,0,0,0
14,Luis Romo,MEX,MF,0,14,71,12
14,Emiliano Martinez,URU,MF,0,0,0,0
14,Jefferson Lerma,COL,MF,0,13,77,8
14,Mathias Olivera,URU,DF,0,20,42,18
14,Lucas Paqueta,BRA,MF,0,9,104,17
14,Darwin Nunez,URU,FW,0,6,95,2
14,Omar Alderete,PAR,DF,0,6,9,3
14,Jorge Gutierrez,PAN,DF,0,6,28,10
14,David Ospina,COL,GK,0,0,0,0
14,Auston Trusty,USA,DF,0,5,31,6
14,Nilson Angulo,ECU,FW,0,7,83,18
14,Jordy Alcivar,ECU,MF,0,1,12,7
14,Lionel Messi,ARG,FW,0,26,194,23
14,Dominique Simon,HAI,MF,0,2,26,6
14,Alisson,BRA,GK,0,0,0,0
14,Juan Musso,ARG,GK,0,0,0,0
14,Andres Andrade,PAN,DF,0,10,38,19
14,Christian Pulisic,USA,FW,0,8,73,9
14,Obed Vargas,MEX,MF,0,3,20,2
14,Eric Davis,PAN,DF,0,1,1,1
14,Santiago Bueno,URU,DF,0,0,0,0
14,Julio Enciso,PAR,FW,0,20,209,17
14,Alex Arce,PAR,FW,0,1,32,4
14,Kevin Castano,COL,MF,0,1,9,0
14,Johan Mojica,COL,DF,0,11,45,3
14,Alexis Mac Allister,ARG,MF,0,36,239,37
14,James Rodriguez,COL,MF,0,7,146,8
14,Angelo Preciado,ECU,DF,0,4,29,3
14,Josue Casimir,HAI,FW,0,9,81,13
14,Weston Mckennie,USA,MF,0,22,102,21
14,Jackson Porozo,ECU,DF,0,2,2,0
14,Jose Maria Gimenez,URU,DF,0,0,0,0
14,Santiago Arias,COL,DF,0,5,12,1
14,Jose Manuel Lopez,ARG,FW,0,2,9,3
14,Orlando Mosquera,PAN,GK,0,0,0,0
14,Tyler Adams,USA,MF,0,30,65,21
14,Alan Minda,ECU,MF,0,1,28,1
14,Federico Vinas,URU,FW,0,12,63,6
14,Nicolas Otamendi,ARG,DF,0,3,18,8
14,Nico Gonzalez,ARG,MF,0,12,77,7
14,Gaston Olveira,PAR,GK,0,0,0,0
14,Juan Jose Caceres,PAR,DF,0,17,154,41
14,Jorge Sanchez,MEX,DF,0,16,87,21
14,Matias Vina,URU,DF,0,4,8,0
14,Deiver Machado,COL,DF,0,4,21,2
14,Luis Chavez,MEX,MF,0,1,4,3
14,Cristian Roldan,USA,MF,0,0,0,0
14,Vinicius Junior,BRA,FW,0,24,172,10
14,Alexis Vega,MEX,FW,0,1,3,0
14,Weverton,BRA,GK,0,0,0,0
14,Giuliano Simeone,ARG,FW,0,11,74,14
14,Juan Quintero,COL,MF,0,3,45,0
14,Emiliano Martinez,ARG,GK,0,0,0,0
14,Cesar Blackman,PAN,DF,0,7,41,12
14,Tim Ream,USA,DF,0,3,16,6
14,Moises Ramirez,ECU,GK,0,0,0,0
14,Yassin Fortune,HAI,FW,0,0,0,0
14,Giorgian De Arrascaeta,URU,MF,0,0,0,0
14,Felix Torres,ECU,DF,0,0,1,1
14,Ramon Sosa,PAR,MF,0,0,12,1
14,Cristian Romero,ARG,DF,0,11,52,22
14,Davinson Sanchez,COL,DF,0,20,32,18
14,Cesar Yanis,PAN,MF,0,0,0,0
14,Edgardo Farina,PAN,DF,0,0,0,0
14,Israel Reyes,MEX,DF,0,3,11,2
14,Nicolas De La Cruz,URU,MF,0,7,36,6
14,Cecilio Waterman,PAN,FW,0,7,19,2
14,Camilo Vargas,COL,GK,0,0,0,0
14,Nico Paz,ARG,FW,0,7,44,6
14,Santiago Mele,URU,GK,0,0,0,0
14,Gabriel Avalos,PAR,FW,0,5,46,5
14,John Yeboah,ECU,FW,0,44,73,20
14,Cesar Huerta,MEX,FW,0,0,4,1
14,Marko Arnautovic,AUT,FW,0,5,35,1
14,Valentin Barco,ARG,MF,0,0,7,2
14,Jhon Cordoba,COL,FW,0,2,23,2
14,Jiovany Ramos,PAN,DF,0,3,29,18
14,Nicolas Tagliafico,ARG,DF,0,14,98,25
14,Keeto Thermoncy,HAI,DF,0,0,0,0
14,Cesar Samudio,PAN,GK,0,0,0,0
14,Alvaro Montero,COL,GK,0,0,0,0
14,Jhon Arias,COL,MF,0,33,107,27
14,Jordy Caicedo,ECU,FW,0,1,12,1
14,Enzo Fernandez,ARG,MF,0,46,204,28
14,Joel Ordonez,ECU,DF,0,7,18,5
14,Diego Gomez,PAR,MF,0,23,147,37
14,Carlos Acevedo,MEX,GK,0,0,0,0
14,Evann Guessand,CIV,FW,0,2,9,2
14,Parfait Guiagon,CIV,MF,0,0,0,0
14,Iqraam Rayners,RSA,FW,0,7,83,2
14,Olwethu Makhanya,RSA,DF,0,0,0,0
14,Jonathan Osorio,CAN,MF,0,1,3,1
14,Chemsdine Talbi,MAR,MF,0,6,59,7
14,Ibrahim Sangare,CIV,MF,0,23,114,29
14,Relebohile Mofokeng,RSA,FW,0,18,107,13
14,Elisha Owusu,GHA,MF,0,5,55,10
14,Antoine Semenyo,GHA,MF,0,26,123,20
14,Trezeguet,EGY,FW,0,6,46,4
14,Omar Rekik,TUN,DF,0,5,17,5
14,Abdul Fatawu,GHA,FW,0,11,50,5
14,Joao Paulo,CPV,MF,0,5,25,4
14,Yahia Fofana,CIV,GK,0,0,0,0
14,Youssef Belammari,MAR,DF,0,0,0,0
14,Ayoube Amaimouni,MAR,FW,0,4,10,3
14,Amad Diallo,CIV,FW,0,8,54,12
14,Owen Goodman,CAN,GK,0,0,0,0
14,Hannibal Mejbri,TUN,MF,0,19,125,17
14,Garven Metusala,HAI,DF,0,0,0,0
14,Jacob Shaffelburg,CAN,MF,0,5,22,6
14,Derrick Etienne,HAI,FW,0,0,2,0
14,Gessime Yassine,MAR,MF,0,1,22,6
14,Evan Ndicka,CIV,DF,0,0,0,0
14,Alidu Seidu,GHA,DF,0,0,16,6
14,Hazem Mastouri,TUN,FW,0,1,38,4
14,Samir El Mourabet,MAR,MF,0,6,33,5
14,Sipho Chaine,RSA,GK,0,0,0,0
14,Kamaldeen Sulemana,GHA,FW,0,3,62,8
14,Ernest Nuamah,GHA,FW,0,2,58,6
14,Thalente Mbatha,RSA,MF,0,12,99,14
14,Derek Cornelius,CAN,DF,0,4,29,6
14,Mostafa Shoubir,EGY,GK,0,0,0,0
14,Ghislain Konan,CIV,DF,0,14,67,12
14,Mamadou Sarr,SEN,DF,0,0,0,0
14,Sofyan Amrabat,MAR,MF,0,10,49,16
14,Assane Diao,SEN,FW,0,1,3,0
14,Jovane Cabral,CPV,MF,0,14,86,7
14,Haissem Hassan,EGY,FW,0,0,44,0
14,Noussair Mazraoui,MAR,DF,0,29,59,20
14,Duckens Nazon,HAI,FW,0,1,6,0
14,Dylan Bronn,TUN,DF,0,1,4,1
14,El Hadji Malick Diouf,SEN,DF,0,14,37,5
14,Ramy Rabia,EGY,DF,0,12,31,11
14,Bara Sapoko Ndiaye,SEN,MF,0,2,11,3
14,Jean Ricner Bellegarde,HAI,MF,0,13,89,17
