Rank,Name,Nationality,Position,Passes,Passes Completed,Passing Accuracy (%),Crosses,Crossing Accuracy (%),Take-Ons Completed,Defensive Linebreaks Attempts,Defensive Linebreaks Accuracy (%),Switches Of Play Attempts,Switches Of Play Accuracy (%)
278,Leandro Bacuna,CUW,MF,125,108,86,4,0,4,4,25,1,100
278,Derrick Luckassen,GHA,DF,125,109,87,0,0,0,3,0,1,100
278,Christ Inao Oulai,CIV,MF,125,115,92,0,0,4,4,100,3,100
278,Amir Alammari,IRQ,MF,125,99,79,7,43,1,7,57,0,0
283,Jackson Irvine,AUS,MF,124,103,83,2,50,1,2,0,2,100
283,Merih Demiral,TUR,DF,124,119,96,1,0,0,5,40,2,100
285,Rustam Ashurmatov,UZB,DF,123,101,82,0,0,0,4,0,1,100
285,Seol Youngwoo,KOR,DF,123,113,92,11,27,0,6,83,0,0
285,Bart Verbruggen,NED,GK,123,89,72,0,0,0,2,0,0,0
285,Nathan Ake,NED,DF,123,112,91,1,0,0,3,0,0,0
285,Alexander Schlager,AUT,GK,123,106,86,0,0,0,0,0,0,0
285,Nico Schlotterbeck,GER,DF,123,110,89,0,0,1,3,67,4,75
285,Maxime Crepeau,CAN,GK,123,92,75,0,0,0,2,0,1,0
285,Hannibal Mejbri,TUN,MF,123,94,76,9,33,2,11,55,7,71
293,Patrick Beach,AUS,GK,122,79,65,0,0,0,3,0,0,0
294,Kenan Yildiz,TUR,FW,121,108,89,8,13,8,10,70,1,0
294,Morgan Rogers,ENG,MF,121,102,84,6,17,5,13,77,3,100
294,Jiovany Ramos,PAN,DF,121,108,89,0,0,3,2,0,2,50
297,Federico Valverde,URU,MF,120,98,82,8,0,2,12,67,5,100
297,Jonas Adjetey,GHA,DF,120,105,88,0,0,0,0,0,4,75
299,Redouane Halhal,MAR,DF,119,113,95,0,0,0,0,0,1,100
299,Angus Gunn,SCO,GK,119,90,76,0,0,0,0,0,1,100
301,Otabek Shukurov,UZB,MF,117,103,88,1,0,2,3,33,3,100
301,Andres Cubas,PAR,MF,117,97,83,0,0,0,1,0,1,100
301,Boualem Khoukhi,QAT,DF,117,94,80,1,0,0,8,25,3,100
301,Keito Nakamura,JPN,MF,117,100,85,9,33,5,10,80,0,0
301,Ismail Jakobs,SEN,DF,117,106,91,19,21,1,9,78,0,0
301,Kai Havertz,GER,FW,117,101,86,3,67,1,2,0,0,0
301,Bradley Barcola,FRA,FW,117,106,91,7,14,11,11,73,0,0
301,Micky Van De Ven,NED,DF,117,105,90,3,0,1,3,67,0,0
309,Thomas Meunier,BEL,DF,116,98,84,8,38,1,8,38,2,50
309,Junior Alonso,PAR,DF,116,69,59,1,0,0,7,29,2,100
309,Robin Hranac,CZE,DF,116,104,90,1,0,0,2,0,0,0
309,Danley Jean Jacques,HAI,MF,116,102,88,2,0,1,1,0,3,100
309,Noah Sadiki,COD,MF,116,103,89,1,100,3,3,33,0,0
309,Kim Seunggyu,KOR,GK,116,85,73,0,0,0,9,11,2,50
315,Jerome Opoku,GHA,DF,115,95,83,0,0,1,7,43,7,57
315,Michael Boxall,NZL,DF,115,104,90,1,100,0,0,0,0,0
317,Yahia Fofana,CIV,GK,114,74,65,0,0,0,1,100,0,0
318,Karim Hafez,EGY,DF,113,99,88,2,0,1,2,50,1,100
318,Montassar Talbi,TUN,DF,113,107,95,0,0,0,0,0,4,75
318,Joel Ordonez,ECU,DF,113,101,89,0,0,1,2,50,1,100
318,Matias Galarza,PAR,MF,113,82,73,4,25,2,6,33,0,0
318,Anthony Gordon,ENG,FW,113,96,85,10,20,10,18,72,0,0
318,Saud Abdulhamid,KSA,DF,113,88,78,4,25,2,3,67,1,0
324,Amir Murillo,PAN,DF,112,88,79,8,50,5,12,58,1,100
324,Sherel Floranus,CUW,DF,112,95,85,0,0,1,3,33,1,100
326,Noor Alrawabdeh,JOR,MF,111,84,76,0,0,4,10,40,5,80
326,Martin Experience,HAI,DF,111,93,84,6,0,1,6,33,3,100
326,Moise Bombito,CAN,DF,111,96,86,0,0,0,4,50,1,100
326,Oscar Bobb,NOR,MF,111,102,92,2,0,6,5,20,0,0
326,Ismail Yuksek,TUR,MF,111,104,94,1,0,3,2,50,2,100
331,Vladimir Coufal,CZE,DF,110,79,72,20,30,1,10,60,1,0
331,Kou Itakura,JPN,DF,110,107,97,0,0,0,1,100,0,0
331,Alexander Sorloth,NOR,FW,110,88,80,5,20,2,5,100,0,0
331,Samir El Mourabet,MAR,MF,110,100,91,1,0,1,4,50,1,100
335,Ellyes Skhiri,TUN,MF,109,99,91,0,0,0,3,0,2,100
335,Nicolas Pepe,CIV,FW,109,93,85,10,30,5,10,60,0,0
335,Nathan Patterson,SCO,DF,109,94,86,2,0,1,3,0,1,100
335,Nico Gonzalez,ARG,MF,109,90,83,9,44,5,8,63,0,0
335,Edgar Yoel Barcenas,PAN,MF,109,96,88,5,40,2,3,67,4,100
335,Zion Suzuki,JPN,GK,109,76,70,0,0,0,6,17,0,0
335,Steven Moreira,CPV,DF,109,88,81,4,75,3,3,0,0,0
342,Ismael Kone,CAN,MF,108,93,86,2,0,2,0,0,0,0
343,Nasser Aldawsari,KSA,MF,107,92,86,1,0,5,2,50,1,0
343,Max Crocombe,NZL,GK,107,78,73,0,0,0,4,0,0,0
343,Jordan Bos,AUS,DF,107,94,88,8,38,8,8,38,1,100
343,Yasin Ayari,SWE,MF,107,84,79,17,29,2,2,0,3,67
343,Benjamin Tahirovic,BIH,MF,107,91,85,2,0,0,2,0,1,100
343,Carlos Harvey,PAN,DF,107,85,79,1,0,4,3,33,6,67
343,Marcus Holmgren Pedersen,NOR,DF,107,87,81,7,43,0,4,0,0,0
350,Jarell Quansah,ENG,DF,106,92,87,1,0,0,2,50,1,0
350,Lucas Herrington,AUS,DF,106,101,95,0,0,0,0,0,0,0
350,Sofyan Amrabat,MAR,MF,106,98,92,0,0,0,3,67,2,100
350,Yazan Alarab,JOR,DF,106,94,89,0,0,2,1,0,0,0
350,Jamiro Monteiro,CPV,MF,106,87,82,6,33,0,3,33,0,0
350,Luis Romo,MEX,MF,106,93,88,2,50,0,5,40,0,0
356,Hernan Galindez,ECU,GK,105,70,67,0,0,0,5,60,0,0
356,Johny Placide,HAI,GK,105,67,64,0,0,0,2,0,0,0
356,Sidny Lopes Cabral,CPV,DF,105,87,83,11,9,3,3,33,0,0
356,Ritsu Doan,JPN,MF,105,89,85,5,0,1,5,80,0,0
356,Ramiz Zerrouki,ALG,MF,105,97,92,0,0,0,2,100,5,100
