Rank,Name,Nationality,Position,Goals,Assists,Minutes Played
222,Paul Okon Engstler,AUS,MF,0,1,214
223,Marcos Llorente,ESP,DF,0,1,217
224,Chemsdine Talbi,MAR,MF,0,1,217
225,Thomas Meunier,BEL,DF,0,1,226
226,Edmilson Junior,QAT,FW,0,1,228
227,Gonzalo Montiel,ARG,DF,0,1,241
228,Tim Payne,NZL,DF,0,1,241
229,Akmal Mozgovoy,UZB,MF,0,1,243
230,Eberechi Eze,ENG,MF,0,1,247
231,Christian Pulisic,USA,FW,0,1,253
232,Lucas Paqueta,BRA,MF,0,1,255
233,Xaver Schlager,AUT,MF,0,1,265
234,Nicolas Jackson,SEN,FW,0,1,271
235,Amir Alammari,IRQ,MF,0,1,279
236,Lamine Camara,SEN,MF,0,1,287
237,Ehsan Haddad,JOR,DF,0,1,287
238,Mateo Kovacic,CRO,MF,0,1,293
239,Ritsu Doan,JPN,MF,0,1,295
240,Lee Kangin,KOR,MF,0,1,300
241,Vladimir Coufal,CZE,DF,0,1,301
242,David Alaba,AUT,DF,0,1,302
243,Ibrahim Sangare,CIV,MF,0,1,305
244,Noor Alrawabdeh,JOR,MF,0,1,309
245,Nico Gonzalez,ARG,MF,0,1,324
246,Rayan,BRA,FW,0,1,327
247,Arthur Masuaku,COD,DF,0,1,340
248,Joao Cancelo,POR,DF,0,1,342
249,Facundo Medina,ARG,DF,0,1,350
250,Luka Modric,CRO,MF,0,1,360
251,Yan Diomande,CIV,FW,0,1,361
252,Luis Suarez,COL,FW,0,1,365
253,Ryan Mendes,CPV,FW,0,1,366
254,Sead Kolasinac,BIH,DF,0,1,373
255,Pedro Neto,POR,FW,0,1,381
256,Jorge Sanchez,MEX,DF,0,1,388
257,Chadi Riad,MAR,DF,0,1,390
258,Erik Lira,MEX,MF,0,1,391
259,Aurelien Tchouameni,FRA,MF,0,1,407
260,Pedro Vite,ECU,MF,0,1,407
261,Chancel Mbemba,COD,DF,0,1,409
262,Morgan Rogers,ENG,MF,0,1,411
263,Konrad Laimer,AUT,MF,0,1,412
264,Josip Stanisic,CRO,DF,0,1,413
265,Sadio Mane,SEN,FW,0,1,421
266,Moussa Niakhate,SEN,DF,0,1,459
267,Bruno Fernandes,POR,MF,0,1,471
268,David Moller Wolfe,NOR,DF,0,1,477
269,Marawan Attia,EGY,MF,0,1,495
270,Gustavo Puerta,COL,DF,0,1,520
271,Gabriel Magalhaes,BRA,DF,0,1,520
272,Rodrigo De Paul,ARG,MF,0,1,539
273,Timothy Castagne,BEL,DF,0,1,546
274,Mohamed Hany,EGY,DF,0,1,546
275,Ricardo Rodriguez,SUI,DF,0,1,567
276,Adrien Rabiot,FRA,MF,0,1,657
277,Elliot Anderson,ENG,MF,0,1,713
278,Dayot Upamecano,FRA,DF,0,1,740
279,Aymeric Laporte,ESP,DF,0,1,824
280,Aaron Tshibola,COD,MF,0,0,0
280,Achref Abada,ALG,DF,0,0,0
280,David Affengruber,AUT,DF,0,0,0
280,Aiman Yahya,KSA,FW,0,0,0
280,Mohamed Alaa,EGY,GK,0,0,0
280,Samet Akaydin,TUR,DF,0,0,0
280,Nawaf Alaqidi,KSA,GK,0,0,0
280,Abdallah Alfakhori,JOR,GK,0,0,0
280,Ziyad Aljohani,KSA,MF,0,0,0
280,Ahmed Alkassar,KSA,GK,0,0,0
280,Saleh Alshehri,KSA,FW,0,0,0
280,Nabil Donga,EGY,MF,0,0,0
280,Aurele Amenda,SUI,DF,0,0,0
280,Joseph Anang,GHA,GK,0,0,0
280,Ronald Araujo,URU,DF,0,0,0
280,Jeremy Arevalo,ECU,FW,0,0,0
280,Adam Arous,TUN,DF,0,0,0
280,Khalil Ayari,TUN,MF,0,0,0
280,Christopher Bonsu Baah,GHA,FW,0,0,0
280,Anas Badawi,JOR,DF,0,0,0
280,Bae Junho,KOR,MF,0,0,0
280,Nour Baniateyah,JOR,GK,0,0,0
280,Kosta Barbarouses,NZL,FW,0,0,0
280,Meshaal Barsham,QAT,GK,0,0,0
280,Dylan Batubinsika,COD,DF,0,0,0
280,Oliver Baumann,GER,GK,0,0,0
280,Altay Bayindir,TUR,GK,0,0,0
280,Lachlan Bayliss,NZL,MF,0,0,0
280,Youssef Belammari,MAR,DF,0,0,0
280,Sabri Ben Hessen,TUN,GK,0,0,0
280,Goncalo Inacio,POR,DF,0,0,0
280,Augustine Boakye,GHA,MF,0,0,0
280,Tyrick Bodak,CUW,GK,0,0,0
280,Chris Brady,USA,GK,0,0,0
280,Marcio Rosa,CPV,GK,0,0,0
280,Santiago Bueno,URU,DF,0,0,0
280,Duje Caleta Car,CRO,DF,0,0,0
280,Jorge Carrascal,COL,MF,0,0,0
280,Adalberto Carrasquilla,PAN,MF,0,0,0
280,Denil Castillo,ECU,MF,0,0,0
280,Sipho Chaine,RSA,GK,0,0,0
280,Roozbeh Cheshmi,IRN,MF,0,0,0
280,Raed Chikhaoui,TUN,DF,0,0,0
280,Cho Wije,KOR,DF,0,0,0
280,Logan Costa,CPV,DF,0,0,0
280,Bradley Cross,RSA,DF,0,0,0
280,Rui Silva,POR,GK,0,0,0
280,Dennis Dargahi,IRN,FW,0,0,0
280,Giorgian De Arrascaeta,URU,MF,0,0,0
280,Koni De Winter,BEL,DF,0,0,0
280,Zeno Debast,BEL,DF,0,0,0
280,Milos Degenek,AUS,DF,0,0,0
280,Cameron Devlin,AUS,MF,0,0,0
280,Yehvann Diouf,SEN,GK,0,0,0
280,Willer Ditta,COL,DF,0,0,0
280,Trevor Doornbusch,CUW,GK,0,0,0
280,Stopira,CPV,DF,0,0,0
280,Josue Duverger,HAI,GK,0,0,0
280,Hjalmar Ekdal,SWE,DF,0,0,0
280,Tarek Alaa,EGY,DF,0,0,0
280,Rayan Elloumi,TUN,FW,0,0,0
280,Matthieu Epolo,COD,GK,0,0,0
280,Botirali Ergashev,UZB,GK,0,0,0
280,Martin Erlic,CRO,DF,0,0,0
280,Umar Eshmurodov,UZB,DF,0,0,0
280,Edgardo Farina,PAN,DF,0,0,0
280,Timothy Fayulu,COD,GK,0,0,0
280,Kevin Felida,CUW,MF,0,0,0
280,Gatito Fernandez,PAR,GK,0,0,0
280,Mark Flekken,NED,GK,0,0,0
280,Tyler Fletcher,SCO,MF,0,0,0
280,Toni Fruk,CRO,MF,0,0,0
280,Goncalo Guedes,POR,FW,0,0,0
280,Joan Garcia,ESP,GK,0,0,0
280,Lutsharel Geertruida,NED,DF,0,0,0
280,Jose Maria Gimenez,URU,DF,0,0,0
280,Owen Goodman,CAN,GK,0,0,0
280,Craig Gordon,SCO,GK,0,0,0
280,Ricardo Goss,RSA,GK,0,0,0
280,Alex Grimaldo,ESP,DF,0,0,0
280,Parfait Guiagon,CIV,MF,0,0,0
280,Mert Gunok,TUR,GK,0,0,0
280,Rajaei Ayed,JOR,MF,0,0,0
280,Salah Zakaria,QAT,GK,0,0,0
280,Lucas Hernandez,FRA,DF,0,0,0
280,George Hirst,SCO,FW,0,0,0
280,Lukas Hornicek,CZE,GK,0,0,0
280,Hossein Hosseini,IRN,GK,0,0,0
280,Dominic Hyam,SCO,DF,0,0,0
280,Mahdy Soliman,EGY,GK,0,0,0
280,Danial Iri,IRN,DF,0,0,0
280,Paul Izzo,AUS,GK,0,0,0
280,Kristijan Jakic,CRO,DF,0,0,0
280,Tahsin Mohammed,QAT,FW,0,0,0
280,Jo Hyeonwoo,KOR,GK,0,0,0
280,Viktor Johansson,SWE,GK,0,0,0
280,Herman Johansson,SWE,DF,0,0,0
280,Alfie Jones,CAN,DF,0,0,0
280,David Jurasek,CZE,DF,0,0,0
280,Mladen Jurkas,BIH,GK,0,0,0
280,Samukele Kabini,RSA,DF,0,0,0
280,Gael Kakuta,COD,FW,0,0,0
280,Ngolo Kante,FRA,MF,0,0,0
280,Marvin Keller,SUI,GK,0,0,0
280,Liam Kelly,SCO,GK,0,0,0
280,Kim Taehyeon,KOR,DF,0,0,0
280,Mohamed Kone,CIV,GK,0,0,0
280,Dominik Kotarski,CRO,GK,0,0,0
280,Jan Kuchta,CZE,FW,0,0,0
280,Markhus Lacroix,HAI,DF,0,0,0
280,Lee Donggyeong,KOR,MF,0,0,0
280,Dejan Ljubicic,AUT,MF,0,0,0
280,Hassan Kadish,KSA,DF,0,0,0
280,Kobbie Mainoo,ENG,MF,0,0,0
280,Ali Majrashi,KSA,DF,0,0,0
280,Olwethu Makhanya,RSA,DF,0,0,0
280,Jose Sa,POR,GK,0,0,0
280,Arjany Martha,CUW,MF,0,0,0
280,Emiliano Martinez,URU,MF,0,0,0
280,Melvin Mastil,ALG,GK,0,0,0
280,Thabang Matuludi,RSA,DF,0,0,0
280,Luis Mejia,PAN,GK,0,0,0
280,Santiago Mele,URU,GK,0,0,0
280,Antoine Mendy,SEN,DF,0,0,0
280,Garven Metusala,HAI,DF,0,0,0
280,Roderick Miller,PAN,DF,0,0,0
280,Alvaro Montero,COL,GK,0,0,0
280,Nikola Moro,CRO,MF,0,0,0
280,Nihad Mujakic,BIH,DF,0,0,0
280,Victor Munoz,ESP,FW,0,0,0
280,Mohammed Muntari,QAT,FW,0,0,0
280,Khulumani Ndamane,RSA,DF,0,0,0
280,Cherif Ndiaye,SEN,FW,0,0,0
280,Evan Ndicka,CIV,DF,0,0,0
280,Moutaz Neffati,TUN,DF,0,0,0
280,Payam Niazmand,IRN,GK,0,0,0
280,Alexander Nuebel,GER,GK,0,0,0
280,Gaston Olveira,PAR,GK,0,0,0
280,Keisuke Osako,JPN,GK,0,0,0
280,David Ospina,COL,GK,0,0,0
280,Assan Ouedraogo,GER,MF,0,0,0
280,Ivor Pandur,CRO,GK,0,0,0
280,Wilguens Paugain,HAI,DF,0,0,0
280,Alex Paulsen,NZL,GK,0,0,0
280,Facundo Pellistri,URU,FW,0,0,0
280,Patrick Pentz,AUT,GK,0,0,0
280,Leo Pereira,BRA,DF,0,0,0
280,Alexandre Pierre,HAI,GK,0,0,0
280,Woodensky Pierre,HAI,MF,0,0,0
280,Nando Pijnaker,NZL,DF,0,0,0
280,Joaquin Piquerez,URU,MF,0,0,0
280,Juan Portilla,COL,MF,0,0,0
280,Fahad Talib,IRQ,GK,0,0,0
280,Moises Ramirez,ECU,GK,0,0,0
280,David Raya,ESP,GK,0,0,0
280,Amirmohammad Razaghinia,IRN,MF,0,0,0
280,Robin Roefs,NED,GK,0,0,0
280,Logan Rogerson,NZL,FW,0,0,0
280,Cristian Roldan,USA,MF,0,0,0
280,Alex Rufer,NZL,MF,0,0,0
280,Geronimo Rulli,ARG,GK,0,0,0
280,Ibrahim Sadeh,JOR,MF,0,0,0
280,Carl Sainte,HAI,MF,0,0,0
280,Brice Samba,FRA,GK,0,0,0
280,Cesar Samudio,PAN,GK,0,0,0
280,Ederson,BRA,GK,0,0,0
280,Mamadou Sarr,SEN,DF,0,0,0
280,Alessandro Schoepf,AUT,MF,0,0,0
280,Bremer,BRA,DF,0,0,0
280,Eric Smith,SWE,DF,0,0,0
280,Hugo Sochurek,CZE,MF,0,0,0
280,Song Bumkeun,KOR,GK,0,0,0
280,John Souttar,SCO,DF,0,0,0
280,Kelvin Pires,CPV,DF,0,0,0
280,Dayne St Clair,CAN,GK,0,0,0
280,Jindrich Stanek,CZE,GK,0,0,0
280,Abdul Mumin,GHA,DF,0,0,0
280,Michael Svoboda,AUT,DF,0,0,0
280,Ahmed Reda Tagnaouti,MAR,GK,0,0,0
280,Mohammad Abughoush,JOR,MF,0,0,0
280,Sander Tangvik,NOR,GK,0,0,0
280,Keeto Thermoncy,HAI,DF,0,0,0
280,Jehad Thikri,KSA,DF,0,0,0
280,Yassine Titraoui,ALG,MF,0,0,0
280,Mohamed Amine Tougai,ALG,DF,0,0,0
280,James Trafford,ENG,GK,0,0,0
280,Avazbek Ulmasaliyev,UZB,DF,0,0,0
280,Anthony Valencia,ECU,MF,0,0,0
280,Gonzalo Valle,ECU,GK,0,0,0
280,Ben Waine,NZL,FW,0,0,0
280,Joel Waterman,CAN,DF,0,0,0
280,Mats Wieffer,NED,DF,0,0,0
280,Florian Wiegele,AUT,GK,0,0,0
280,Michael Woud,NZL,GK,0,0,0
280,Cesar Yanis,PAN,MF,0,0,0
280,Rodrigo Zalazar,URU,MF,0,0,0
280,Martin Zlomislic,BIH,GK,0,0,0
510,Fabian Balbuena,PAR,DF,0,0,0
512,Baba Rahman,GHA,DF,0,0,1
513,Borja Iglesias,ESP,FW,0,0,1
514,Marcus Thuram,FRA,FW,0,0,2
515,Mathew Ryan,AUS,GK,0,0,2
516,Max Arfsten,USA,DF,0,0,2
517,Yerry Mina,COL,DF,0,0,2
518,Fares Ghedjemis,ALG,FW,0,0,2
519,Sherzod Esanov,UZB,MF,0,0,3
520,Marc Pubill,ESP,DF,0,0,3
522,Matheus Nunes,POR,MF,0,0,4
523,Haji Wright,USA,FW,0,0,4
524,Gustaf Nilsson,SWE,FW,0,0,5
525,Trevoh Chalobah,ENG,DF,0,0,6
526,Brandley Kuwas,CUW,FW,0,0,6
527,Shurandy Sambo,CUW,DF,0,0,6
528,Ibrahim Adel,EGY,FW,0,0,7
529,Irfan Can Kahveci,TUR,FW,0,0,7
530,Ross Stewart,SCO,FW,0,0,7
531,Andres Gomez,COL,FW,0,0,7
532,Rodrigo Aguirre,URU,FW,0,0,8
533,Khalid Alghannam,KSA,FW,0,0,8
534,Alberto Quintero,PAN,MF,0,0,8
535,Maghnes Akliouche,FRA,MF,0,0,10
536,Carl Starfelt,SWE,DF,0,0,10
537,Gedeon Kalulu,COD,DF,0,0,10
539,Marten De Roon,NED,MF,0,0,11
540,Anibal Godoy,PAN,MF,0,0,11
542,Keisuke Goto,JPN,FW,0,0,11
543,Mohammad Abuzraiq,JOR,FW,0,0,12
544,Godfried Roemeratoe,CUW,MF,0,0,12
545,Jordan Henderson,ENG,MF,0,0,12
546,Christian Fassnacht,SUI,FW,0,0,12
548,Jens Petter Hauge,NOR,MF,0,0,12
549,Amir Hadziahmetovic,BIH,MF,0,0,12
550,Mojmir Chytil,CZE,FW,0,0,12
551,Jayden Nelson,CAN,FW,0,0,12
552,Cesar Huerta,MEX,FW,0,0,12
554,Kento Shiogai,JPN,FW,0,0,12
555,Felix Torres,ECU,DF,0,0,12
556,Lucas Mendes,QAT,DF,0,0,13
557,Mohammad Abuhasheesh,JOR,DF,0,0,13
558,Kamogelo Sebelebele,RSA,FW,0,0,13
559,Yassin Fortune,HAI,FW,0,0,13
561,Derrick Etienne,HAI,FW,0,0,14
562,Eric Davis,PAN,DF,0,0,14
563,Alex Sandro,BRA,DF,0,0,15
564,Caglar Soyuncu,TUR,DF,0,0,15
565,Mohammad Aldaoud,JOR,MF,0,0,15
566,Mohamed Abdelmoneim,EGY,DF,0,0,15
567,Assane Diao,SEN,FW,0,0,16
568,Bamba Dieng,SEN,FW,0,0,16
569,Jamshid Iskanderov,UZB,MF,0,0,16
570,Noa Lang,NED,FW,0,0,17
571,Yuito Suzuki,JPN,MF,0,0,17
572,Jonathan Osorio,CAN,MF,0,0,17
573,Callan Elliot,NZL,DF,0,0,18
574,Alejandro Romero Gamarra,PAR,FW,0,0,18
575,Guillermo Ochoa,MEX,GK,0,0,18
576,Alexis Vega,MEX,FW,0,0,18
577,Themba Zwane,RSA,MF,0,0,19
578,Jean Michael Seri,CIV,MF,0,0,19
579,David Zima,CZE,DF,0,0,19
580,Amer Jamous,JOR,MF,0,0,19
581,Ramon Sosa,PAR,MF,0,0,19
582,Tyrese Noslin,CUW,FW,0,0,19
583,Mohanad Ali,IRQ,FW,0,0,20
584,Roshon Van Eijma,CUW,DF,0,0,20
585,Kenji Gorre,CUW,FW,0,0,20
586,Kendry Paez,ECU,MF,0,0,20
587,Findlay Curtis,SCO,FW,0,0,21
588,Armando Gonzalez,MEX,FW,0,0,21
589,Alphonso Davies,CAN,DF,0,0,22
590,Saed Alrosan,JOR,DF,0,0,22
592,Alex Zendejas,USA,FW,0,0,22
593,Zakaria El Ouahdi,MAR,DF,0,0,22
594,Simon Adingra,CIV,FW,0,0,22
595,Ken Sema,SWE,MF,0,0,22
596,Shuto Machino,JPN,FW,0,0,23
597,Luka Sucic,CRO,MF,0,0,23
598,Anthony Ralston,SCO,DF,0,0,23
599,Azizbek Amonov,UZB,FW,0,0,23
600,Pascal Gross,GER,MF,0,0,24
601,Valentin Barco,ARG,MF,0,0,24
602,Aimar Sher,IRQ,MF,0,0,24
603,Mustafa Saadoon,IRQ,DF,0,0,24
604,Almoez Ali,QAT,FW,0,0,24
605,Yang Hyunjun,KOR,MF,0,0,25
606,Haris Tabakovic,BIH,FW,0,0,25
607,Noah Okafor,SUI,FW,0,0,25
608,Samir Chergui,ALG,DF,0,0,25
609,Samu Costa,POR,DF,0,0,26
610,Senne Lammens,BEL,GK,0,0,26
611,Amirhossein Hosseinzadeh,IRN,FW,0,0,26
612,Dzenis Burnic,BIH,MF,0,0,27
613,Evann Guessand,CIV,FW,0,0,27
614,Mortadha Ben Ouanes,TUN,DF,0,0,27
615,Kevin Castano,COL,MF,0,0,28
616,Adil Boulbina,ALG,FW,0,0,28
